,sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,priors_count.1,two_year_recid
0,1,69,1,0,0,0,0,0,0,0
1,1,34,1,0,0,0,0,0,0,1
2,1,24,1,0,0,1,4,0,4,1
3,1,23,1,0,1,0,1,0,1,0
4,1,43,1,0,0,0,2,0,2,0
5,1,44,1,0,0,0,0,1,0,0
6,1,41,0,0,0,0,14,0,14,1
7,1,43,1,0,0,0,3,0,3,0
8,0,39,0,0,0,0,0,1,0,0
9,1,21,0,0,0,0,1,0,1,1
10,1,27,0,0,0,0,0,0,0,0
11,1,23,1,0,0,0,3,1,3,1
12,0,37,0,0,0,0,0,1,0,0
13,1,41,1,0,0,0,0,0,0,0
14,0,47,0,0,0,0,1,0,1,1
15,1,31,1,0,0,0,7,0,7,1
16,1,37,1,0,0,0,0,1,0,0
17,1,25,1,0,0,0,3,0,3,0
18,1,31,0,0,0,0,6,0,6,1
19,1,31,0,0,0,0,5,0,5,1
20,1,64,1,0,0,0,13,0,13,1
21,1,21,1,0,0,0,1,0,1,1
22,1,27,0,0,0,0,0,1,0,1
23,0,21,0,0,0,0,0,0,0,0
24,1,24,1,0,0,0,1,0,1,1
25,1,43,0,0,0,0,1,1,1,0
26,1,32,1,0,0,0,0,1,0,0
27,1,27,1,0,0,0,8,0,8,1
28,0,36,0,0,0,0,3,0,3,0
29,1,26,1,0,0,1,5,0,5,1
30,1,33,1,0,0,0,0,0,0,1
31,1,30,0,0,0,0,9,0,9,1
32,1,32,1,0,0,0,4,0,4,1
33,1,55,0,0,0,0,0,0,0,0
34,1,49,1,0,0,0,7,0,7,1
35,1,26,0,0,0,2,6,1,6,0
36,0,33,0,0,0,0,4,1,4,1
37,1,24,0,0,0,0,1,1,1,1
38,1,34,1,2,1,3,21,0,21,1
39,1,29,0,0,0,0,0,1,0,0
40,0,21,1,0,0,0,2,0,2,0
41,1,51,1,0,0,0,2,1,2,0
42,1,29,0,0,0,0,2,1,2,1
43,0,51,1,0,0,0,7,0,7,0
44,1,29,1,0,0,0,0,0,0,1
45,1,25,0,0,0,0,9,1,9,1
46,1,35,1,1,0,4,13,0,13,1
47,1,49,0,0,0,0,0,1,0,0
48,1,34,1,0,0,0,4,1,4,1
49,1,29,1,0,0,0,0,0,0,0
50,1,29,0,0,0,0,1,0,1,1
51,0,28,1,0,0,0,0,0,0,0
52,1,48,0,0,0,0,20,0,20,1
53,0,63,1,0,0,0,1,0,1,0
54,1,31,1,0,0,1,15,0,15,0
55,1,24,1,0,0,0,2,0,2,1
56,1,30,1,0,0,0,0,1,0,0
57,1,49,1,0,0,0,4,1,4,0
58,1,53,0,0,0,0,8,0,8,0
59,1,35,1,0,0,0,5,0,5,0
60,1,63,1,0,0,0,10,1,10,1
61,1,27,1,1,1,2,15,0,15,1
62,1,38,0,0,0,0,4,1,4,1
63,1,22,1,0,0,1,1,0,1,1
64,1,22,1,0,1,2,2,0,2,1
65,1,29,1,0,0,0,4,0,4,1
66,1,62,1,0,0,0,0,1,0,0
67,1,27,1,0,1,0,6,0,6,1
68,1,33,1,0,0,0,0,1,0,0
69,0,56,1,0,0,0,0,1,0,0
70,1,45,1,0,0,0,6,0,6,1
71,1,22,1,0,0,0,1,0,1,0
