,Unnamed: 0,sex,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,priors_count.1,two_year_recid
0,0,1,69,0,0,0,0,0,0,0
1,1,1,34,0,0,0,0,0,0,1
2,2,1,24,0,0,1,4,0,4,1
3,3,1,23,0,1,0,1,0,1,0
4,4,1,43,0,0,0,2,0,2,0
5,5,1,44,0,0,0,0,1,0,0
6,6,1,41,0,0,0,14,0,14,1
7,7,1,43,0,0,0,3,0,3,0
8,8,0,39,0,0,0,0,1,0,0
9,9,1,21,0,0,0,1,0,1,1
10,10,1,27,0,0,0,0,0,0,0
11,11,1,23,0,0,0,3,1,3,1
12,12,0,37,0,0,0,0,1,0,0
13,13,1,41,0,0,0,0,0,0,0
14,14,0,47,0,0,0,1,0,1,1
15,15,1,31,0,0,0,7,0,7,1
16,16,1,37,0,0,0,0,1,0,0
17,17,1,25,0,0,0,3,0,3,0
18,18,1,31,0,0,0,6,0,6,1
19,19,1,31,0,0,0,5,0,5,1
20,20,1,64,0,0,0,13,0,13,1
21,21,1,21,0,0,0,1,0,1,1
22,22,1,27,0,0,0,0,1,0,1
23,23,0,21,0,0,0,0,0,0,0
24,24,1,24,0,0,0,1,0,1,1
25,25,1,43,0,0,0,1,1,1,0
26,26,1,32,0,0,0,0,1,0,0
27,27,1,27,0,0,0,8,0,8,1
28,28,0,36,0,0,0,3,0,3,0
29,29,1,26,0,0,1,5,0,5,1
30,30,1,33,0,0,0,0,0,0,1
31,31,1,30,0,0,0,9,0,9,1
32,32,1,32,0,0,0,4,0,4,1
33,33,1,55,0,0,0,0,0,0,0
34,34,1,49,0,0,0,7,0,7,1
35,35,1,26,0,0,2,6,1,6,0
36,36,0,33,0,0,0,4,1,4,1
37,37,1,24,0,0,0,1,1,1,1
38,38,1,34,2,1,3,21,0,21,1
39,39,1,29,0,0,0,0,1,0,0
40,40,0,21,0,0,0,2,0,2,0
41,41,1,51,0,0,0,2,1,2,0
42,42,1,29,0,0,0,2,1,2,1
43,43,0,51,0,0,0,7,0,7,0
44,44,1,29,0,0,0,0,0,0,1
45,45,1,25,0,0,0,9,1,9,1
46,46,1,35,1,0,4,13,0,13,1
47,47,1,49,0,0,0,0,1,0,0
48,48,1,34,0,0,0,4,1,4,1
49,49,1,29,0,0,0,0,0,0,0
50,50,1,29,0,0,0,1,0,1,1
51,51,0,28,0,0,0,0,0,0,0
52,52,1,48,0,0,0,20,0,20,1
53,53,0,63,0,0,0,1,0,1,0
54,54,1,31,0,0,1,15,0,15,0
55,55,1,24,0,0,0,2,0,2,1
56,56,1,30,0,0,0,0,1,0,0
57,57,1,49,0,0,0,4,1,4,0
58,58,1,53,0,0,0,8,0,8,0
59,59,1,35,0,0,0,5,0,5,0
60,60,1,63,0,0,0,10,1,10,1
61,61,1,27,1,1,2,15,0,15,1
62,62,1,38,0,0,0,4,1,4,1
63,63,1,22,0,0,1,1,0,1,1
