,Unnamed: 0,sex,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,priors_count.1,two_year_recid
1443,1443,1,24,0,0,0,5,0,5,1
1444,1444,0,26,0,0,0,3,0,3,1
1445,1445,1,22,0,0,0,3,0,3,1
1446,1446,1,44,0,0,0,2,0,2,0
1447,1447,1,32,0,0,0,3,0,3,0
1448,1448,0,27,0,0,0,1,1,1,0
1449,1449,1,52,0,0,0,15,1,15,1
1450,1450,1,61,0,0,0,3,1,3,1
1451,1451,1,69,0,0,0,3,1,3,0
1452,1452,1,51,0,0,0,2,0,2,0
1453,1453,0,21,0,0,0,1,0,1,0
1454,1454,1,31,1,0,0,2,1,2,1
1455,1455,1,19,0,2,0,3,0,3,1
1456,1456,1,24,0,5,0,12,1,12,1
1457,1457,1,24,0,0,0,3,0,3,1
1458,1458,1,57,0,0,0,3,0,3,0
1459,1459,1,30,0,0,0,6,0,6,0
1460,1460,1,43,0,0,0,4,0,4,1
1461,1461,1,24,0,0,1,4,0,4,0
1462,1462,0,30,0,0,0,7,1,7,0
1463,1463,1,25,0,0,0,5,0,5,1
1464,1464,1,57,0,0,0,0,1,0,1
1465,1465,0,56,0,0,0,1,0,1,0
1466,1466,1,21,0,0,0,1,0,1,0
1467,1467,1,31,3,0,0,6,0,6,1
1468,1468,0,23,0,0,0,1,0,1,0
1469,1469,1,30,1,0,2,15,0,15,1
1470,1470,1,42,0,0,0,1,1,1,0
1471,1471,1,64,0,0,0,0,0,0,0
1472,1472,0,21,0,0,0,0,0,0,1
1473,1473,1,36,0,0,0,5,0,5,0
1474,1474,0,50,0,0,0,1,0,1,0
1475,1475,1,23,0,0,0,0,1,0,1
1476,1476,1,28,0,0,0,2,0,2,0
1477,1477,0,25,0,0,0,5,0,5,0
1478,1478,0,47,0,0,0,1,0,1,0
1479,1479,1,28,0,0,1,7,0,7,1
1480,1480,1,53,0,0,0,4,0,4,0
1481,1481,1,54,0,0,0,14,1,14,1
1482,1482,1,37,0,0,0,6,1,6,0
1483,1483,1,25,0,0,1,5,1,5,1
1484,1484,1,63,0,0,0,0,1,0,1
1485,1485,1,35,0,0,0,2,1,2,0
1486,1486,1,20,9,0,0,9,0,9,1
1487,1487,1,26,0,0,0,0,1,0,1
1488,1488,1,32,0,0,0,2,0,2,0
1489,1489,1,25,0,0,0,8,1,8,1
1490,1490,1,33,0,0,0,0,1,0,0
1491,1491,1,29,0,0,0,7,0,7,0
1492,1492,1,27,0,0,0,2,1,2,0
